Name,Email,Experience,Country,Industry,LinkedIn Input,Job Description,Likes and Interests,Impact Made,Stage Relevance,Skill Set,Tags
Arjun Malhotra,arjun.m@byteorbit.io,8 years,India,Cloud Infrastructure Optimization for Mid-Scale SaaS,Cloud Strategy Lead @ ByteOrbit | Scaling Infrastructure for SaaS | Ex-Google | Kubernetes | Azure Evangelist,Manages cloud migration and cost optimization for SaaS platforms with 10K+ daily users.,"Cloud gaming, philosophy podcasts, drone photography",Reduced infrastructure cost by 35% for 5 clients; enabled zero-downtime deployments,"Growth, Scaling","Azure, GCP, Kubernetes, Terraform, DevOps, CI/CD","cloud strategy, SaaS, Kubernetes, scaling infrastructure, ByteOrbit, cost optimization"
Neha Iyer,neha.iyer@neuralstack.dev,6 years,USA,AI/ML for EdTech Platforms,Senior ML Engineer @ NeuralStack | Building Personalized Learning Models | Python | TensorFlow | Passionate Educator,Designs machine learning models to tailor online coursework for student performance.,"Women in STEM, AI fairness, journaling",Improved student course completion rates by 20%,"MVP, Iteration","Python, TensorFlow, Keras, Scikit-learn, A/B testing","ML, EdTech, personalization, student success, NeuralStack, AI fairness"
Karan Dsouza,karan.d@chainlogic.ai,5 years,Japan,Web3 Developer Tools,Product Manager @ ChainLogic | Building APIs for Web3 Devs | Solidity | DevRel | Ex-Hackernoon,Defines and prioritizes developer experience tools for blockchain ecosystems,"Hackathons, Rust, sci-fi books",Created tooling adopted by 2K+ blockchain devs globally,"Idea, Validation","Solidity, Rust, API design, Product strategy","Web3, devtools, blockchain, ChainLogic, product strategy, developer APIs"
Priya Thakkar,priya.t@pixxrtech.com,10 years,Germany,Cybersecurity SaaS for SMEs,VP Engineering @ Pixxr | Cybersecurity for Startups | Ethical Hacking | Zero Trust Evangelist,Leads engineering roadmap for threat detection and response systems,"Pen testing, sailing, ethical hacking bootcamps",Stopped a $1M ransomware attack at a partner firm,"Scaling, Optimization","Python, SIEM, network security, OWASP, cloud firewalls","cybersecurity, zero trust, Pixxr, threat detection, SME security"
Aditya Rao,aditya.rao@vortexlabs.ai,4 years,Brazil,Generative AI for Video Content,AI Researcher @ VortexLabs | GenAI for Creative Workflows | LLMs | Ex-Adobe,Works on training generative models for B2B video production,"Anime, visual design, AI ethics",Cut video production time by 70% for 15+ clients,"Growth, Iteration","PyTorch, diffusion models, GenAI, video synthesis","generative AI, video AI, LLMs, VortexLabs, content automation"
Zoya Ramesh,zoya.r@stackpulse.io,3 years,Nigeria,Developer Onboarding Automation,Product Designer @ StackPulse | UX for DevOnboarding | Figma | Developer Experience Advocate,Designs intuitive onboarding flows for fast developer ramp-up,"UX sprints, poetry, Figma community",Reduced onboarding time by 40% for clients,"MVP, Growth","Figma, UX research, Design systems, Hotjar, Storybook","product design, onboarding, UX, Figma, StackPulse"
Sahil Mehta,sahil.m@quantwise.tech,7 years,Vietnam,Data Infrastructure for AI Startups,Data Platform Engineer @ Quantwise | Lakehouse Architect | Spark | DVC | Ex-DataRobot,Builds data infra for machine learning pipelines,"Data lineage, indie music, urban farming",Enabled 10x faster ML model retraining,Scaling,"Spark, Airflow, DataBricks, DVC, MLflow","data engineering, AI infra, Spark, lakehouse, Quantwise"
Dr. Anika Sharma,anika.s@vitalloop.ai,12 years,India,Remote Patient Monitoring AI,CMO @ VitalLoop | Bridging Medicine & Machine Learning | Preventive Health | Stanford MD,Oversees product development of ML-driven wearable diagnostics,"Yoga, AI in medicine, wine-tasting",Detected early health anomalies in 1000+ patients,Scaling,"Digital health, clinical research, AI interpretation, FDA compliance","health AI, diagnostics, VitalLoop, wearable tech, preventive care"
Vishal Kapoor,vishal.kapoor@medlink.tech,6 years,USA,HealthTech APIs for Clinics,Full-stack Engineer @ MedLink | Building Health APIs | HL7 | EMR Integrations,Builds HIPAA-compliant integration tools for clinics,"Soccer, medtech UX, mental health access",Automated appointment booking for 500+ clinics,"Iteration, Growth","React, Node.js, HL7, OAuth2, MongoDB","health APIs, MedLink, HIPAA, EMR, health software"
Ria Fernandez,ria.fernandez@aetherlabs.bio,5 years,Japan,AI in Genetic Diagnostics,Bioinformatics Scientist @ AetherLabs | CRISPR Data | Deep Learning | Personalized Medicine Advocate,Develops AI models for CRISPR-based test accuracy,"Classical music, CRISPR, SciComm",Reduced misdiagnosis in 3 rare disease categories,"R&D, MVP","Python, R, NGS analysis, CNNs, Biostatistics","CRISPR, bioinformatics, AetherLabs, genetic AI, rare diseases"
